Candidate Votes,Total Votes,Candidate,Party,Year,% Votes
3882244,7803770,Gerald R Ford,Republican,1976,49.748313955946934
4522994,8582938,Ronald Reagan,Republican,1980,52.69750288304541
5467009,9505041,Ronald Reagan,Republican,1984,57.51694285169312
5054917,9887065,George Bush,Republican,1988,51.126567894516725
5121325,11131721,William Jefferson Clinton,Democratic,1992,46.00658784028094
5119835,10019469,William Jefferson Clinton,Democratic,1996,51.09886561852729
5861203,10965822,Al Gore,Democratic,2000,53.44973682775446
6745485,12421353,John F Kerry,Democratic,2004,54.305557534674364
8274473,13561900,Barack Obama,Democratic,2008,61.01263834713425
7854285,13038547,Barack Obama,Democratic,2012,60.23895914168964
8753788,14181595,Hillary Rodham Clinton,Democratic,2016,61.72639960455788
11110250,17500881,Joseph R Biden Jr.,Democratic,2020,63.48394689387351
